GmlID;ID;CODIGO;NOME;AREA_KM2;PERIMETR_M;Shape_Leng;Shape_Area
BAIRRO_POPULAR.95;95,000000000000000;712,000000000000000;Letícia;0,775000000000000;4236,818000000000211;4236,818228350000027;-774902,126564000034705
BAIRRO_POPULAR.96;96,000000000000000;713,000000000000000;Liberdade;0,457000000000000;3321,878000000000156;3321,877786170000036;-456741,306768000009470
BAIRRO_POPULAR.97;97,000000000000000;714,000000000000000;Lindéia;2,012000000000000;7847,484999999999673;7847,485529800000222;-2011959,567419999977574
BAIRRO_POPULAR.98;98,000000000000000;715,000000000000000;Lourdes;1,259000000000000;4969,385000000000218;4969,384870130000309;-1258563,338230000110343
BAIRRO_POPULAR.99;99,000000000000000;716,000000000000000;Luxemburgo;0,621000000000000;3849,737000000000080;3849,737711249999847;-620973,743187000043690
BAIRRO_POPULAR.100;100,000000000000000;717,000000000000000;Madre Gertrudes;0,536000000000000;7274,005000000000109;7274,005021259999921;-536404,106493999948725
BAIRRO_POPULAR.101;101,000000000000000;718,000000000000000;Mangabeiras;6,190000000000000;17900,731999999999971;17900,731276999998954;-6189556,155880000442266
BAIRRO_POPULAR.102;102,000000000000000;719,000000000000000;Mantiqueira;2,927000000000000;11034,299999999999272;11034,300661499999478;-2926869,578559999819845
BAIRRO_POPULAR.103;103,000000000000000;720,000000000000000;Marajó;0,271000000000000;2268,516999999999825;2268,517039519999798;-271430,825479999999516
BAIRRO_POPULAR.104;104,000000000000000;721,000000000000000;Maria Helena;0,734000000000000;4917,154000000000451;4917,154642100000274;-734345,388266999972984
BAIRRO_POPULAR.105;105,000000000000000;722,000000000000000;Milionários;1,317000000000000;6026,693000000000211;6026,693201750000298;-1317208,980849999934435
BAIRRO_POPULAR.106;106,000000000000000;723,000000000000000;Minas Brasil;0,326000000000000;3111,152000000000044;3111,152342899999894;-325888,697571999975480
BAIRRO_POPULAR.107;107,000000000000000;724,000000000000000;Minascaixa;0,975000000000000;4235,323000000000320;4235,322693480000453;-975240,381510999985039
BAIRRO_POPULAR.108;108,000000000000000;725,000000000000000;Minaslândia;0,792000000000000;4429,480999999999767;4429,481262109999989;-792031,389495000010356
BAIRRO_POPULAR.109;109,000000000000000;726,000000000000000;Monsenhor Messias;0,349000000000000;2902,440000000000055;2902,439583620000121;-349067,820400999975391
BAIRRO_POPULAR.110;110,000000000000000;728,000000000000000;Nova Cintra;0,727000000000000;5071,595999999999549;5071,595667200000207;-726702,911219000001438
BAIRRO_POPULAR.111;111,000000000000000;729,000000000000000;Nova Esperança;0,443000000000000;3116,619000000000142;3116,618772910000189;-443489,280519000021741
BAIRRO_POPULAR.112;112,000000000000000;730,000000000000000;Nova Floresta;0,427000000000000;2868,768000000000029;2868,768244689999847;-427284,112324999994598
BAIRRO_POPULAR.113;113,000000000000000;731,000000000000000;Nova Gameleira;1,169000000000000;9317,838999999999942;9317,839342690000194;-1168596,539799999911338
BAIRRO_POPULAR.114;114,000000000000000;732,000000000000000;Nova Granada;0,624000000000000;4527,027000000000044;4527,027085349999652;-624069,860498999943957
BAIRRO_POPULAR.115;115,000000000000000;733,000000000000000;Nova Pampulha;0,039000000000000;1052,983999999999924;1052,984109400000079;-38718,060711999998603
BAIRRO_POPULAR.116;116,000000000000000;734,000000000000000;Nova Suissa;1,252000000000000;4967,795000000000073;4967,795092499999555;-1251705,985829999903217
BAIRRO_POPULAR.117;117,000000000000000;735,000000000000000;Nova Vista;0,688000000000000;4470,752000000000407;4470,752269569999953;-688422,733700999990106
BAIRRO_POPULAR.118;118,000000000000000;736,000000000000000;Novo São Lucas;0,277000000000000;2637,873000000000047;2637,873294800000167;-276624,520498000027146
BAIRRO_POPULAR.119;119,000000000000000;737,000000000000000;Olhos d'Água;3,662000000000000;11053,899999999999636;11053,899211500000092;-3662448,338709999807179
BAIRRO_POPULAR.120;120,000000000000000;738,000000000000000;Ouro Preto;2,370000000000000;10000,759000000000015;10000,758937399999922;-2370403,996979999821633
BAIRRO_POPULAR.121;121,000000000000000;739,000000000000000;Padre Eustáquio;2,973000000000000;9754,394000000000233;9754,394355779999387;-2973253,929339999798685
BAIRRO_POPULAR.122;122,000000000000000;740,000000000000000;Palmares;0,697000000000000;4463,213999999999942;4463,214652560000104;-697250,353826000005938
BAIRRO_POPULAR.123;123,000000000000000;741,000000000000000;Palmeiras;1,446000000000000;6114,425000000000182;6114,425182449999738;-1446455,317939999978989
BAIRRO_POPULAR.124;124,000000000000000;742,000000000000000;Bandeirantes;4,777000000000000;13898,523999999999432;13898,523562700000184;-4776550,200989999808371
BAIRRO_POPULAR.125;125,000000000000000;743,000000000000000;Paquetá;1,456000000000000;8958,168999999999869;8958,168357309999919;-1455915,998429999919608
BAIRRO_POPULAR.126;126,000000000000000;744,000000000000000;Paraíso;1,340000000000000;6984,118000000000393;6984,117993849999948;-1340146,544250000035390
BAIRRO_POPULAR.127;127,000000000000000;746,000000000000000;Pedreira Prado Lopes;0,151000000000000;2041,709000000000060;2041,709340619999921;-150641,717344000004232
BAIRRO_POPULAR.128;128,000000000000000;748,000000000000000;Pindorama;1,611000000000000;6915,322000000000116;6915,322279859999981;-1610885,396119999932125
BAIRRO_POPULAR.129;129,000000000000000;749,000000000000000;Pirajá;0,252000000000000;2581,001000000000204;2581,001233359999787;-251525,842926999990596
BAIRRO_POPULAR.130;130,000000000000000;750,000000000000000;Planalto;2,515000000000000;9863,670000000000073;9863,670385150000584;-2515220,345819999929518
BAIRRO_POPULAR.131;131,000000000000000;751,000000000000000;Pompéia;0,591000000000000;5875,817000000000007;5875,816569339999660;-590624,973390999948606
BAIRRO_POPULAR.132;132,000000000000000;752,000000000000000;Prado;1,584000000000000;6559,774999999999636;6559,774824140000419;-1583962,195850000018254
BAIRRO_POPULAR.133;133,000000000000000;754,000000000000000;Primeiro de Maio;0,176000000000000;3281,793000000000120;3281,793321690000084;-176117,714639000012539
BAIRRO_POPULAR.134;134,000000000000000;756,000000000000000;Providência;0,712000000000000;6778,139000000000124;6778,138664709999830;-712086,212311999988742
