OBJECTID;CODIGO;TIPO;NOME;FONTE;CD_REGIONA;NM_REGIONA;SHAPE_AREA;SHAPE_LEN;area_km2
7;24,000000000000000;DIVISA DE BAIRROS;PRADO VELHO;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;2434125,135869999881834;7089,467939000000115;2,434126118280000
8;25,000000000000000;DIVISA DE BAIRROS;PAROLIN;Decreto Municipal 774 / 1975;7,000000000000000;REGIONAL PORTÃO;2258320,894530000165105;6678,004723000000013;2,258322265960000
10;27,000000000000000;DIVISA DE BAIRROS;PORTÃO;Decreto Municipal 774 / 1975;7,000000000000000;REGIONAL PORTÃO;5858497,315469999797642;10839,074470999999903;5,858499344900000
11;28,000000000000000;DIVISA DE BAIRROS;VILA IZABEL;Decreto Municipal 774 / 1975;7,000000000000000;REGIONAL PORTÃO;1216541,769069999922067;4590,326318999999785;1,216542415550000
12;30,000000000000000;DIVISA DE BAIRROS;CAMPINA DO SIQUEIRA;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;1697521,633850000100210;5680,860709999999926;1,697522571860000
13;34,000000000000000;DIVISA DE BAIRROS;BOA VISTA;Decreto Municipal 774 / 1975;4,000000000000000;REGIONAL BOA VISTA;5223707,877700000070035;9624,651673000000301;5,223710408100000
15;14,000000000000000;DIVISA DE BAIRROS;AHÚ;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;1854919,504040000028908;6360,384909999999763;1,854920688020000
18;6,000000000000000;DIVISA DE BAIRROS;CRISTO REI;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;1446992,119070000015199;6090,044511000000057;1,446992894990000
19;8,000000000000000;DIVISA DE BAIRROS;REBOUÇAS;Decreto Municipal 774 / 1975;1,000000000000000;REGIONAL MATRIZ;2966142,829200000036508;7556,379257999999936;2,966144203610000
65;59,000000000000000;DIVISA DE BAIRROS;ORLEANS;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;5122386,055660000070930;16197,181715999999142;5,122389238170000
68;32,000000000000000;DIVISA DE BAIRROS;PILARZINHO;Decreto Municipal 774 / 1975;4,000000000000000;REGIONAL BOA VISTA;7104472,609260000288486;13605,176606000000902;7,104476849200000
35;45,000000000000000;DIVISA DE BAIRROS;MOSSUNGUÊ;Decreto Municipal 774 / 1975;5,000000000000000;REGIONAL SANTA FELICIDADE;3365440,486109999939799;9125,524498000000676;3,365441558960000
